question,retrieved_source,context_relevant,answer,cited_sources,auto_verdict
What is the difference between classification and regression?,"01_supervised_learning.pdf, 03_model_evaluation.pdf",True,"Classification predicts a discrete category, whereas regression predicts a continuous numeric value. The main difference between the two is the type of target the model has to predict. Classification predicts a categorical value, such as spam or not spam, whereas regression predicts a continuous value, such as the price of a house. Both use labeled data, but the type of target is the key difference between the two. [1][2]",01_supervised_learning.pdf (page 1),correct
How does the elbow method help choose k in k-means?,"02_unsupervised_learning.pdf, 03_model_evaluation.pdf",True,"The elbow method helps choose k in k-means by plotting the within-cluster sum of squares (also called inertia) against k. The best k is the point where the curve bends like an elbow and the improvement slows down sharply. [1] This is because the inertia represents the amount of variation within each cluster, and the elbow method identifies the point at which the clusters are well-separated. [1]",02_unsupervised_learning.pdf (page 1),correct
What advantage does DBSCAN have over k-means?,02_unsupervised_learning.pdf,True,"DBSCAN has the advantage of not requiring the number of clusters to be fixed in advance, unlike k-means. This allows DBSCAN to find clusters of arbitrary shape, whereas k-means assumes clusters are roughly spherical and of similar size. Additionally, DBSCAN does not require the number of clusters to be chosen in advance, making it more flexible than k-means. [1][2]",02_unsupervised_learning.pdf (page 1),correct
What is the F1 score?,03_model_evaluation.pdf,True,"The F1 score is the harmonic mean of precision and recall, computed as 2PR divided by (P + R). [1]",03_model_evaluation.pdf (page 1),correct
Why is accuracy misleading on imbalanced datasets?,"03_model_evaluation.pdf, 06_feature_engineering.pdf",True,"Accuracy can be misleading on imbalanced datasets because a model that always predicts the majority class can reach high accuracy while catching no fraud at all, even if it's not a good model. This is because the majority class is often the class with more data, making it easier to predict. For example, if 99 percent of transactions are legitimate, a model that always predicts legitimate will reach 99 percent accuracy, but it will not catch any fraud. This highlights the importance of using precision, recall, F1, or the area under the precision-recall curve instead of accuracy for imbalanced problems. [1]",03_model_evaluation.pdf (page 1),correct
What is the difference between L1 and L2 regularization?,"04_overfitting_and_regularization.pdf, 06_feature_engineering.pdf",True,"L1 regularization penalizes the sum of the absolute values of the weights, whereas L2 regularization penalizes the sum of the squared weights. L1 regularization can push some weights to exactly zero, producing sparse models and automatic feature selection, whereas L2 regularization rarely makes weights exactly zero.",04_overfitting_and_regularization.pdf (page 1); 06_feature_engineering.pdf (page 2),correct
What dropout rates are typical?,"01_supervised_learning.pdf, 03_model_evaluation.pdf, 04_overfitting_and_regularization.pdf",True,Typical dropout rates for neural networks are between 0.2 and 0.5. [1],04_overfitting_and_regularization.pdf (page 1),correct
What does the ReLU activation function do?,"04_overfitting_and_regularization.pdf, 05_neural_networks_basics.pdf",True,"The ReLU activation function returns zero for negative inputs and the input itself for positive inputs. It is cheap to compute, helps against vanishing gradients, and is the default choice for hidden layers. [1]",05_neural_networks_basics.pdf (page 1),correct
What is data leakage and how can I avoid it when scaling features?,"04_overfitting_and_regularization.pdf, 06_feature_engineering.pdf",True,"Data leakage occurs when information from the validation or test data leaks into training, giving over-optimistic results. To avoid data leakage when scaling features, split the data first, fit every transformer on the training set only, and then apply it to the validation and test sets. This can be easily done using Scikit-learn Pipelines. [1][2]",06_feature_engineering.pdf (page 1),correct
How should a categorical feature such as color be encoded?,06_feature_engineering.pdf,True,"According to the provided context, a categorical feature such as color can be encoded using one-hot encoding, which creates one binary column for each category. For example, a color feature with the values red, green, and blue becomes three columns. [1]",06_feature_engineering.pdf (page 1),correct
Who won the 2018 FIFA World Cup?,-,,I don't have enough information in the provided documents to answer that.,-,correct (refused)
What is the capital of Australia?,-,,I don't have enough information in the provided documents to answer that.,-,correct (refused)
