question,retrieved_source,context_relevant,answer,cited_sources,auto_verdict
What is the difference between classification and regression?,"01_supervised_learning.pdf, 04_overfitting_and_regularization.pdf",True,"Classification predicts a discrete category, whereas regression predicts a continuous numeric value. Both use labeled data, but the type of target the model has to predict differs between them. [3] [1]",01_supervised_learning.pdf (page 1),correct
How does the elbow method help choose k in k-means?,"02_unsupervised_learning.pdf, 06_feature_engineering.pdf",True,"The elbow method helps choose k in k-means by plotting the within-cluster sum of squares (also called inertia) against k. The best k is the point where the curve bends like an elbow and the improvement slows down sharply. [1] This is because the inertia curve has a characteristic ""elbow"" shape, where the rate of decrease in inertia slows down as k increases. [1]",02_unsupervised_learning.pdf (page 1),correct
What advantage does DBSCAN have over k-means?,"02_unsupervised_learning.pdf, 06_feature_engineering.pdf",True,"DBSCAN has the advantage that it does not need the number of clusters in advance, whereas k-means requires the number of clusters to be fixed in advance. [1] Additionally, DBSCAN can find clusters of arbitrary shape, whereas k-means assumes clusters that are roughly spherical and of similar size. [1][4]",02_unsupervised_learning.pdf (page 1),correct
What is the F1 score?,"03_model_evaluation.pdf, 04_overfitting_and_regularization.pdf",True,"The F1 score is the harmonic mean of precision and recall, computed as 2PR divided by (P + R). [1]",03_model_evaluation.pdf (page 1),correct
Why is accuracy misleading on imbalanced datasets?,"03_model_evaluation.pdf, 04_overfitting_and_regularization.pdf",True,"Accuracy can be misleading on imbalanced datasets because it can be very high even if the model is not performing well. For example, if 99 percent of transactions are legitimate, a model that always predicts the majority class, legitimate, can reach 99 percent accuracy while catching no fraud at all. This is because accuracy is calculated as the number of correct predictions divided by the total number of predictions, and in an imbalanced dataset, the majority class often has a large number of instances. [1]",03_model_evaluation.pdf (page 1),correct
What is the difference between L1 and L2 regularization?,"04_overfitting_and_regularization.pdf, 06_feature_engineering.pdf",True,"L1 regularization penalizes the sum of the absolute values of the weights, while L2 regularization penalizes the sum of the squared weights. L1 regularization can push some weights to exactly zero, producing sparse models and working as automatic feature selection, whereas L2 regularization rarely makes weights exactly zero, shrinking them toward zero instead. [2] [3]",04_overfitting_and_regularization.pdf (page 1),correct
What dropout rates are typical?,"01_supervised_learning.pdf, 03_model_evaluation.pdf, 04_overfitting_and_regularization.pdf",True,Typical dropout rates for neural networks are between 0.2 and 0.5 [1].,04_overfitting_and_regularization.pdf (page 1),correct
What does the ReLU activation function do?,05_neural_networks_basics.pdf,True,"The ReLU activation function returns zero for negative inputs and the input itself for positive inputs. It is cheap to compute, helps against vanishing gradients, and is the default choice for hidden layers. [1]",05_neural_networks_basics.pdf (page 1),correct
What is data leakage and how can I avoid it when scaling features?,"04_overfitting_and_regularization.pdf, 06_feature_engineering.pdf",True,"Data leakage occurs when information from the validation or test data leaks into training, resulting in over-optimistic results. To avoid data leakage when scaling features, split the data first, fit every transformer on the training set only, and then apply it to the validation and test sets. This can be easily done using Scikit-learn Pipelines. [1][2]",06_feature_engineering.pdf (page 1),correct
How should a categorical feature such as color be encoded?,06_feature_engineering.pdf,True,"One-hot encoding creates one binary column for each category. For example, a color feature with the values red, green and blue becomes three columns. [1][2]",06_feature_engineering.pdf (page 1),correct
ما هو مقياس F1؟,"02_unsupervised_learning.pdf, 03_model_evaluation.pdf, 06_feature_engineering.pdf",True,مقياس F1 هو المعدل الحارم من دقة و تعرف علىه ك 2 دقة / (دقة + تعرف). [1],03_model_evaluation.pdf (page 1),check manually
ما الفرق بين التصنيف والانحدار؟,"01_supervised_learning.pdf, 06_feature_engineering.pdf",True,لا تتوفر لدي معلومات كافية في المستندات المقدمة للإجابة عن هذا السؤال.,-,check manually
ما الفرق بين التنظيم L1 وL2؟,"01_supervised_learning.pdf, 02_unsupervised_learning.pdf, 04_overfitting_and_regularization.pdf, 06_feature_engineering.pdf",True,الفرق بين التنظيم L1 وL2 هو أن التنظيم L1 يضمن أن بعض الأوزان تكون صفرة، بينما التنظيم L2 يضمن أن الأوزان تقل إلى الصفر ولكن لا تكون exactly صفرة. [2] التنظيم L1 يُستخدم في الحالة التي تريد automatic feature selection، بينما التنظيم L2 يُستخدم في الحالة التي تريد shrinkage of weights but لا تريد automatic feature selection. [2],04_overfitting_and_regularization.pdf (page 1),correct
ما هو تسرب البيانات وكيف أتجنبه؟,"02_unsupervised_learning.pdf, 04_overfitting_and_regularization.pdf, 05_neural_networks_basics.pdf, 06_feature_engineering.pdf",True,تسرب البيانات هو حدث يحدث عندما ينتقل المعلومات من البيانات التدريبية إلى البيانات التحليلية أو التحقق، مما يؤدي إلى نتائج مُتوقعة. [1] لمنع التسرب، يجب علىك تقسيم البيانات أولًا، ثم تطبيق كل معالج على مجموعة التدريب فقط، وبالتالي تطبيقها على مجموعة التحقق والتحقق. [1] يمكن استخدام Sklearn Pipelines لتحقيق هذا.,06_feature_engineering.pdf (page 1),correct
Who won the 2018 FIFA World Cup?,-,,I don't have enough information in the provided documents to answer that.,-,correct (refused)
What is the capital of Australia?,-,,I don't have enough information in the provided documents to answer that.,-,correct (refused)
من فاز بكأس العالم 2018؟,-,,لا تتوفر لدي معلومات كافية في المستندات المقدمة للإجابة عن هذا السؤال.,-,correct (refused)
